1, 99
99, 1
2, 98
98, 2
3, 97
97, 3
4, 96
96, 4
5, 95
95, 5
6, 94
94, 6
7, 93
93, 7
8, 92
92, 8
9, 91
91, 9
10, 90
90, 10
11, 89
89, 11
12, 88
88, 12
13, 87
87, 13
14, 86
86, 14
15, 85
85, 15
16, 84
84, 16
17, 83
83, 17
18, 82
82, 18
19, 81
81, 19
20, 80
80, 20
21, 79
79, 21
22, 78
78, 22
23, 77
77, 23
24, 76
76, 24
25, 75
75, 25
26, 74
74, 26
27, 73
73, 27
28, 72
72, 28
29, 71
71, 29
30, 70
70, 30
31, 69
69, 31
32, 68
68, 32
33, 67
67, 33
34, 66
66, 34
35, 65
65, 35
36, 64
64, 36
37, 63
63, 37
38, 62
62, 38
39, 61
61, 39
40, 60
60, 40
41, 59
59, 41
42, 58
58, 42
43, 57
57, 43
44, 56
56, 44
45, 55
55, 45
46, 54
54, 46
47, 53
53, 47
48, 50
50, 48
48, 52
52, 48
49, 51
51, 49
49, 51
51, 49
50, 52
52, 50
51, 53
53, 51
51, 49
49, 51
101, 199
199, 101
102, 198
198, 102
103, 197
197, 103
104, 196
196, 104
105, 195
195, 105
106, 194
194, 106
107, 193
193, 107
108, 192
192, 108
109, 191
191, 109
110, 190
190, 110
111, 189
189, 111
112, 188
188, 112
113, 187
187, 113
114, 186
186, 114
115, 185
185, 115
116, 184
184, 116
117, 183
183, 117
118, 182
182, 118
119, 181
181, 119
120, 180
180, 120
121, 179
179, 121
122, 178
178, 122
123, 177
177, 123
124, 176
176, 124
125, 175
175, 125
126, 174
174, 126
127, 173
173, 127
128, 172
172, 128
129, 171
171, 129
130, 170
170, 130
131, 169
169, 131
132, 168
168, 132
133, 167
167, 133
134, 166
166, 134
135, 165
165, 135
136, 164
164, 136
137, 163
163, 137
138, 162
162, 138
139, 161
161, 139
140, 160
160, 140
141, 159
159, 141
142, 158
158, 142
143, 157
157, 143
144, 156
156, 144
145, 155
155, 145
146, 154
154, 146
147, 153
153, 147
148, 150
150, 148
148, 152
152, 148
149, 151
151, 149
149, 151
151, 149
150, 152
152, 150
151, 153
153, 151
151, 149
149, 151
201, 299
299, 201
202, 298
298, 202
203, 297
297, 203
204, 296
296, 204
205, 295
295, 205
206, 294
294, 206
207, 293
293, 207
208, 292
292, 208
209, 291
291, 209
210, 290
290, 210
211, 289
289, 211
212, 288
288, 212
213, 287
287, 213
214, 286
286, 214
215, 285
285, 215
216, 284
284, 216
217, 283
283, 217
218, 282
282, 218
219, 281
281, 219
220, 280
280, 220
221, 279
279, 221
222, 278
278, 222
223, 277
277, 223
224, 276
276, 224
225, 275
275, 225
226, 274
274, 226
227, 273
273, 227
228, 272
272, 228
229, 271
271, 229
230, 270
270, 230
231, 269
269, 231
232, 268
268, 232
233, 267
267, 233
234, 266
266, 234
235, 265
265, 235
236, 264
264, 236
237, 263
263, 237
238, 262
262, 238
